DATE,CASES
2020-01-03,19
2020-01-04,1516
2020-01-05,237
2020-01-06,59
2020-01-07,135
2020-01-08,309
2020-01-09,565
2020-01-10,3421
2020-01-11,2645
2020-01-12,2663
2020-02-03,19
2020-02-04,1478
2020-02-05,286
2020-02-06,181
2020-02-07,93
2020-02-08,148
2020-02-09,574
2020-02-10,3753
2020-02-11,13805
2020-02-12,2587
2020-03-03,34
2020-03-04,1694
2020-03-05,140
2020-03-06,159
2020-03-07,94
2020-03-08,794
2020-03-09,677
2020-03-10,1728
2020-03-11,12048
2020-03-12,2360
2020-03-13,338
2020-03-14,179
2020-03-15,214
2020-03-16,387
2020-03-17,422
2020-03-18,534
2020-03-19,713
2020-03-20,662
2020-03-21,469
2020-03-22,486
2020-03-23,1328
2020-03-24,1195
2020-03-25,1199
2020-03-26,1363
2020-03-27,1518
2020-03-28,844
2020-03-29,683
2020-03-30,1738
2020-03-31,1681
2020-04-03,53
2020-04-04,922
2020-04-05,670
2020-04-06,172
2020-04-07,64
2020-04-08,813
2020-04-09,728
2020-04-10,1047
2020-04-11,9195
2020-04-12,2546
2020-04-13,537
2020-04-14,1560
2020-04-15,1633
2020-04-16,1674
2020-04-17,1394
2020-04-18,722
2020-04-19,443
2020-04-20,1276
2020-04-21,1270
2020-04-22,777
2020-04-23,976
2020-04-24,811
2020-04-25,388
2020-04-26,205
2020-04-27,755
2020-04-28,569
2020-04-29,522
2020-04-30,586
2020-05-03,81
2020-05-04,665
2020-05-05,546
2020-05-06,154
2020-05-07,24
2020-05-08,767
2020-05-09,322
2020-05-10,5302
2020-05-11,7627
2020-05-12,1094
2020-05-13,321
2020-05-14,305
2020-05-15,346
2020-05-16,147
2020-05-17,81
2020-05-18,317
2020-05-19,292
2020-05-20,385
2020-05-21,70
2020-05-22,248
2020-05-23,123
2020-05-24,75
2020-05-25,314
2020-05-26,202
2020-05-27,182
2020-05-28,171
2020-05-29,165
2020-05-30,61
2020-05-31,49
2020-06-03,110
2020-06-04,1934
2020-06-05,552
2020-06-06,69
2020-06-07,112
2020-06-08,769
2020-06-09,155
2020-06-10,5745
2020-06-11,6592
2020-06-12,593
2020-06-13,49
2020-06-14,22
2020-06-15,147
2020-06-16,99
2020-06-17,123
2020-06-18,108
2020-06-19,121
2020-06-20,50
2020-06-21,20
2020-06-22,143
2020-06-23,110
2020-06-24,100
2020-06-25,76
2020-06-26,113
2020-06-27,41
2020-06-28,24
2020-06-29,127
2020-06-30,100
2020-07-03,27
2020-07-04,1515
2020-07-05,442
2020-07-06,53
2020-07-07,99
2020-07-08,771
2020-07-09,918
2020-07-10,6886
2020-07-11,2998
2020-07-12,3335
2020-07-13,224
2020-07-14,207
2020-07-15,260
2020-07-16,226
2020-07-17,274
2020-07-18,130
2020-07-19,64
2020-07-20,443
2020-07-21,145
2020-07-22,553
2020-07-23,439
2020-07-24,496
2020-07-25,229
2020-07-26,184
2020-07-27,595
2020-07-28,685
2020-07-29,703
2020-07-30,635
2020-07-31,684
2020-08-03,64
2020-08-04,1598
2020-08-05,483
2020-08-06,152
2020-08-07,137
2020-08-08,304
2020-08-09,871
2020-08-10,6671
2020-08-11,1446
2020-08-12,2692
2020-08-13,669
2020-08-14,587
2020-08-15,163
2020-08-16,132
2020-08-17,707
2020-08-18,725
2020-08-19,612
2020-08-20,581
2020-08-21,510
2020-08-22,203
2020-08-23,115
2020-08-24,607
2020-08-25,527
2020-08-26,526
2020-08-27,535
2020-08-28,614
2020-08-29,195
2020-08-30,117
2020-08-31,634
2020-09-03,94
2020-09-04,2239
2020-09-05,240
2020-09-06,145
2020-09-07,124
2020-09-08,122
2020-09-09,1024
2020-09-10,7945
2020-09-11,8607
2020-09-12,2737
2020-09-13,301
2020-09-14,1724
2020-09-15,1628
2020-09-16,1943
2020-09-17,1750
2020-09-18,1709
2020-09-19,894
2020-09-20,461
2020-09-21,2202
2020-09-22,2074
2020-09-23,2096
2020-09-24,1795
2020-09-25,1623
2020-09-26,1078
2020-09-27,560
2020-09-28,2791
2020-09-29,3008
2020-09-30,3274
2020-10-03,99
2020-10-04,2336
2020-10-05,118
2020-10-06,119
2020-10-07,127
2020-10-08,873
2020-10-09,1143
2020-10-10,4370
2020-10-11,7628
2020-10-12,2661
2020-10-13,12768
